ibge,uf,region
270050,AL,ND
270050,AL,ND
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,ND
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270060,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,ND
270070,AL,ND
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270070,AL,
270080,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,ND
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270090,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,ND
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,ND
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,
270100,AL,ND
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,
270110,AL,ND
270110,AL,
270110,AL,
270110,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,ND
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270120,AL,
270130,AL,
270135,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
270140,AL,
